bandwidth,distance,pan1_offload,pan2_offload,pan,best_threshold,TP,FP,FN,TN,precision,recall,fpr,f1,n_interf_seeds,n_no_interf_seeds
100vs100,1300,80,30,PAN2,0.012,95,81,5,19,0.54,0.95,0.81,0.688,100,100
100vs100,1300,80,40,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,80,40,PAN2,0.009,99,97,1,3,0.505,0.99,0.97,0.669,100,100
100vs100,1300,80,50,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,80,50,PAN2,0.013,97,94,3,6,0.508,0.97,0.94,0.667,100,100
100vs100,1300,80,60,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,80,60,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,80,70,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,80,70,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,80,80,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,80,80,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,80,90,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,80,90,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,80,100,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,80,100,PAN2,0.01,96,90,4,10,0.516,0.96,0.9,0.671,100,100
100vs100,1300,90,10,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,90,10,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,90,20,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,90,20,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,90,30,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,90,30,PAN2,0.019,76,41,24,59,0.65,0.76,0.41,0.7,100,100
100vs100,1300,90,40,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,90,40,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,90,50,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,90,50,PAN2,0.007,100,99,0,1,0.503,1.0,0.99,0.669,100,100
100vs100,1300,90,60,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,90,60,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,90,70,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,90,70,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,90,80,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,90,80,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,90,90,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,90,90,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,90,100,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,90,100,PAN2,0.006,100,98,0,2,0.505,1.0,0.98,0.671,100,100
100vs100,1300,100,10,PAN1,0.005,100,99,0,1,0.503,1.0,0.99,0.669,100,100
100vs100,1300,100,10,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,100,20,PAN1,0.005,100,99,0,1,0.503,1.0,0.99,0.669,100,100
100vs100,1300,100,20,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,100,30,PAN1,0.012,97,90,3,10,0.519,0.97,0.9,0.676,100,100
100vs100,1300,100,30,PAN2,0.02,75,34,25,66,0.688,0.75,0.34,0.718,100,100
100vs100,1300,100,40,PAN1,0.005,100,99,0,1,0.503,1.0,0.99,0.669,100,100
100vs100,1300,100,40,PAN2,0.017,80,58,20,42,0.58,0.8,0.58,0.672,100,100
100vs100,1300,100,50,PAN1,0.02,78,54,22,46,0.591,0.78,0.54,0.672,100,100
100vs100,1300,100,50,PAN2,0.007,100,99,0,1,0.503,1.0,0.99,0.669,100,100
100vs100,1300,100,60,PAN1,0.005,100,99,0,1,0.503,1.0,0.99,0.669,100,100
100vs100,1300,100,60,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,100,70,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,100,70,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,100,80,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,100,80,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,100,90,PAN1,0.005,100,99,0,1,0.503,1.0,0.99,0.669,100,100
100vs100,1300,100,90,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,100,100,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,100,100,PAN2,0.02,79,53,21,47,0.598,0.79,0.53,0.681,100,100
100vs200,1300,10,10,PAN1,0.08,80,18,20,82,0.816,0.8,0.18,0.808,100,100
100vs200,1300,10,10,PAN2,0.03,78,25,22,75,0.757,0.78,0.25,0.768,100,100
100vs200,1300,10,20,PAN1,0.075,85,23,15,77,0.787,0.85,0.23,0.817,100,100
100vs200,1300,10,20,PAN2,0.012,81,49,19,51,0.623,0.81,0.49,0.704,100,100
100vs200,1300,10,30,PAN1,0.074,85,24,15,76,0.78,0.85,0.24,0.813,100,100
100vs200,1300,10,30,PAN2,0.011,84,56,16,44,0.6,0.84,0.56,0.7,100,100
100vs200,1300,10,40,PAN1,0.071,86,28,14,72,0.754,0.86,0.28,0.804,100,100
100vs200,1300,10,40,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs200,1300,10,50,PAN1,0.074,83,24,17,76,0.776,0.83,0.24,0.802,100,100
100vs200,1300,10,50,PAN2,0.008,100,99,0,1,0.503,1.0,0.99,0.669,100,100
100vs200,1300,10,60,PAN1,0.058,94,49,6,51,0.657,0.94,0.49,0.774,100,100
100vs200,1300,10,60,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs200,1300,10,70,PAN1,0.071,78,28,22,72,0.736,0.78,0.28,0.757,100,100
100vs200,1300,10,70,PAN2,0.003,100,99,0,1,0.503,1.0,0.99,0.669,100,100
100vs200,1300,10,80,PAN1,0.075,76,23,24,77,0.768,0.76,0.23,0.764,100,100
100vs200,1300,10,80,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs200,1300,10,90,PAN1,0.06,81,47,19,53,0.633,0.81,0.47,0.711,100,100
100vs200,1300,10,90,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs200,1300,10,100,PAN1,0.056,89,53,11,47,0.627,0.89,0.53,0.736,100,100
100vs200,1300,10,100,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs200,1300,20,10,PAN1,0.058,88,43,12,57,0.672,0.88,0.43,0.762,100,100
100vs200,1300,20,10,PAN2,0.04,97,6,3,94,0.942,0.97,0.06,0.956,100,100
100vs200,1300,20,20,PAN1,0.054,86,52,14,48,0.623,0.86,0.52,0.723,100,100
100vs200,1300,20,20,PAN2,0.021,83,1,17,99,0.988,0.83,0.01,0.902,100,100
100vs200,1300,20,30,PAN1,0.037,97,84,3,16,0.536,0.97,0.84,0.69,100,100
100vs200,1300,20,30,PAN2,0.015,86,26,14,74,0.768,0.86,0.26,0.811,100,100
100vs200,1300,20,40,PAN1,0.042,92,72,8,28,0.561,0.92,0.72,0.697,100,100
100vs200,1300,20,40,PAN2,0.014,90,58,10,42,0.608,0.9,0.58,0.726,100,100
100vs200,1300,20,50,PAN1,0.046,93,65,7,35,0.589,0.93,0.65,0.721,100,100
100vs200,1300,20,50,PAN2,0.013,100,98,0,2,0.505,1.0,0.98,0.671,100,100
100vs200,1300,20,60,PAN1,0.037,98,84,2,16,0.538,0.98,0.84,0.695,100,100
100vs200,1300,20,60,PAN2,0.008,96,89,4,11,0.519,0.96,0.89,0.674,100,100
100vs200,1300,20,70,PAN1,0.044,89,68,11,32,0.567,0.89,0.68,0.693,100,100
100vs200,1300,20,70,PAN2,0.003,100,99,0,1,0.503,1.0,0.99,0.669,100,100
100vs200,1300,20,80,PAN1,0.037,95,84,5,16,0.531,0.95,0.84,0.681,100,100
100vs200,1300,20,80,PAN2,0.006,91,81,9,19,0.529,0.91,0.81,0.669,100,100
100vs200,1300,20,90,PAN1,0.043,89,70,11,30,0.56,0.89,0.7,0.687,100,100
100vs200,1300,20,90,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs200,1300,20,100,PAN1,0.041,90,75,10,25,0.545,0.9,0.75,0.679,100,100
100vs200,1300,20,100,PAN2,0.005,100,99,0,1,0.503,1.0,0.99,0.669,100,100
100vs200,1300,30,10,PAN1,0.017,90,56,10,44,0.616,0.9,0.56,0.732,100,100
100vs200,1300,30,10,PAN2,0.032,97,19,3,81,0.836,0.97,0.19,0.898,100,100
100vs200,1300,30,20,PAN1,0.024,97,26,3,74,0.789,0.97,0.26,0.87,100,100
100vs200,1300,30,20,PAN2,0.02,88,3,12,97,0.967,0.88,0.03,0.921,100,100
100vs200,1300,30,30,PAN1,0.028,92,17,8,83,0.844,0.92,0.17,0.88,100,100
100vs200,1300,30,30,PAN2,0.016,90,21,10,79,0.811,0.9,0.21,0.853,100,100
100vs200,1300,30,40,PAN1,0.028,88,17,12,83,0.838,0.88,0.17,0.859,100,100
100vs200,1300,30,40,PAN2,0.014,82,58,18,42,0.586,0.82,0.58,0.683,100,100
100vs200,1300,30,50,PAN1,0.024,93,26,7,74,0.782,0.93,0.26,0.849,100,100
100vs200,1300,30,50,PAN2,0.02,97,90,3,10,0.519,0.97,0.9,0.676,100,100
100vs200,1300,30,60,PAN1,0.022,91,29,9,71,0.758,0.91,0.29,0.827,100,100
100vs200,1300,30,60,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs200,1300,30,70,PAN1,0.022,96,29,4,71,0.768,0.96,0.29,0.853,100,100
100vs200,1300,30,70,PAN2,0.003,100,99,0,1,0.503,1.0,0.99,0.669,100,100
100vs200,1300,30,80,PAN1,0.024,90,26,10,74,0.776,0.9,0.26,0.833,100,100
100vs200,1300,30,80,PAN2,0.005,98,90,2,10,0.521,0.98,0.9,0.681,100,100
100vs200,1300,30,90,PAN1,0.024,93,26,7,74,0.782,0.93,0.26,0.849,100,100
100vs200,1300,30,90,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs200,1300,30,100,PAN1,0.022,91,29,9,71,0.758,0.91,0.29,0.827,100,100
100vs200,1300,30,100,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs200,1300,40,10,PAN1,0.018,83,53,17,47,0.61,0.83,0.53,0.703,100,100
100vs200,1300,40,10,PAN2,0.039,93,7,7,93,0.93,0.93,0.07,0.93,100,100
100vs200,1300,40,20,PAN1,0.023,95,32,5,68,0.748,0.95,0.32,0.837,100,100
100vs200,1300,40,20,PAN2,0.02,93,3,7,97,0.969,0.93,0.03,0.949,100,100
100vs200,1300,40,30,PAN1,0.022,91,34,9,66,0.728,0.91,0.34,0.809,100,100
100vs200,1300,40,30,PAN2,0.013,95,38,5,62,0.714,0.95,0.38,0.815,100,100
100vs200,1300,40,40,PAN1,0.025,90,25,10,75,0.783,0.9,0.25,0.837,100,100
100vs200,1300,40,40,PAN2,0.013,90,70,10,30,0.562,0.9,0.7,0.692,100,100
100vs200,1300,40,50,PAN1,0.022,88,34,12,66,0.721,0.88,0.34,0.793,100,100
100vs200,1300,40,50,PAN2,0.024,96,83,4,17,0.536,0.96,0.83,0.688,100,100
100vs200,1300,40,60,PAN1,0.022,93,34,7,66,0.732,0.93,0.34,0.819,100,100
100vs200,1300,40,60,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs200,1300,40,70,PAN1,0.02,88,41,12,59,0.682,0.88,0.41,0.769,100,100
100vs200,1300,40,70,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs200,1300,40,80,PAN1,0.02,93,41,7,59,0.694,0.93,0.41,0.795,100,100
100vs200,1300,40,80,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs200,1300,40,90,PAN1,0.02,90,41,10,59,0.687,0.9,0.41,0.779,100,100
100vs200,1300,40,90,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs200,1300,40,100,PAN1,0.022,89,34,11,66,0.724,0.89,0.34,0.798,100,100
100vs200,1300,40,100,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
