scope,alpha,bandwidth,distance,pan,own_kbps,own_offload,other_offload,sigma2_het,tau,n_h0_test,n_h1,fp,tp,fpr,fpr_lo,fpr_hi,tpr,tpr_lo,tpr_hi,n_undecidable_h0,n_undecidable_h1
global,0.01,100vs100,1300,PAN1,100,120,100,0.01276187,3.24356,50,100,0,34,0.0,0.0,0.0714,0.34,0.2546,0.4372,0,0
global,0.05,100vs100,1300,PAN1,100,120,100,0.01276187,2.14737,50,100,2,61,0.04,0.011,0.1346,0.61,0.512,0.6998,0,0
global,0.1,100vs100,1300,PAN1,100,120,100,0.01276187,1.74608,50,100,3,77,0.06,0.0206,0.1622,0.77,0.6785,0.8416,0,0
global,0.01,100vs100,1300,PAN2,100,100,120,0.01276187,3.24356,50,100,0,41,0.0,0.0,0.0714,0.41,0.3187,0.508,0,0
global,0.05,100vs100,1300,PAN2,100,100,120,0.01276187,2.14737,50,100,0,71,0.0,0.0,0.0714,0.71,0.6146,0.7899,0,0
global,0.1,100vs100,1300,PAN2,100,100,120,0.01276187,1.74608,50,100,5,82,0.1,0.0435,0.2136,0.82,0.7333,0.883,0,0
global,0.01,100vs100,1300,PAN1,100,120,120,0.01276187,3.24356,50,100,0,37,0.0,0.0,0.0714,0.37,0.2818,0.4678,0,0
global,0.05,100vs100,1300,PAN1,100,120,120,0.01276187,2.14737,50,100,2,55,0.04,0.011,0.1346,0.55,0.4524,0.6439,0,0
global,0.1,100vs100,1300,PAN1,100,120,120,0.01276187,1.74608,50,100,3,65,0.06,0.0206,0.1622,0.65,0.5525,0.7364,0,0
global,0.01,100vs100,1300,PAN2,100,120,120,0.01276187,3.24356,50,100,0,39,0.0,0.0,0.0714,0.39,0.3002,0.488,0,0
global,0.05,100vs100,1300,PAN2,100,120,120,0.01276187,2.14737,50,100,1,69,0.02,0.0035,0.105,0.69,0.5937,0.7722,0,0
global,0.1,100vs100,1300,PAN2,100,120,120,0.01276187,1.74608,50,100,2,84,0.04,0.011,0.1346,0.84,0.7558,0.899,0,0
global,0.01,100vs100,1300,PAN1,100,120,140,0.01276187,3.24356,50,100,0,37,0.0,0.0,0.0714,0.37,0.2818,0.4678,0,0
global,0.05,100vs100,1300,PAN1,100,120,140,0.01276187,2.14737,50,100,2,64,0.04,0.011,0.1346,0.64,0.5424,0.7273,0,0
global,0.1,100vs100,1300,PAN1,100,120,140,0.01276187,1.74608,50,100,3,74,0.06,0.0206,0.1622,0.74,0.6463,0.816,0,0
global,0.01,100vs100,1300,PAN2,100,140,120,0.01276187,3.24356,50,99,0,39,0.0,0.0,0.0714,0.3939,0.3034,0.4924,0,0
global,0.05,100vs100,1300,PAN2,100,140,120,0.01276187,2.14737,50,99,2,64,0.04,0.011,0.1346,0.6465,0.5484,0.7336,0,0
global,0.1,100vs100,1300,PAN2,100,140,120,0.01276187,1.74608,50,99,7,78,0.14,0.0695,0.2619,0.7879,0.6974,0.8569,0,0
global,0.01,100vs100,1300,PAN1,100,120,160,0.01276187,3.24356,50,100,0,26,0.0,0.0,0.0714,0.26,0.184,0.3537,0,0
global,0.05,100vs100,1300,PAN1,100,120,160,0.01276187,2.14737,50,100,2,57,0.04,0.011,0.1346,0.57,0.4722,0.6627,0,0
global,0.1,100vs100,1300,PAN1,100,120,160,0.01276187,1.74608,50,100,3,74,0.06,0.0206,0.1622,0.74,0.6463,0.816,0,0
global,0.01,100vs100,1300,PAN2,100,160,120,0.01276187,3.24356,50,100,0,26,0.0,0.0,0.0714,0.26,0.184,0.3537,0,0
global,0.05,100vs100,1300,PAN2,100,160,120,0.01276187,2.14737,50,100,3,61,0.06,0.0206,0.1622,0.61,0.512,0.6998,0,0
global,0.1,100vs100,1300,PAN2,100,160,120,0.01276187,1.74608,50,100,8,73,0.16,0.0834,0.2851,0.73,0.6357,0.8073,0,0
global,0.01,100vs100,1300,PAN1,100,120,180,0.01276187,3.24356,50,100,0,31,0.0,0.0,0.0714,0.31,0.2278,0.4063,0,0
global,0.05,100vs100,1300,PAN1,100,120,180,0.01276187,2.14737,50,100,2,61,0.04,0.011,0.1346,0.61,0.512,0.6998,0,0
global,0.1,100vs100,1300,PAN1,100,120,180,0.01276187,1.74608,50,100,3,71,0.06,0.0206,0.1622,0.71,0.6146,0.7899,0,0
global,0.01,100vs100,1300,PAN2,100,180,120,0.01276187,3.24356,50,100,1,30,0.02,0.0035,0.105,0.3,0.2189,0.3959,0,0
global,0.05,100vs100,1300,PAN2,100,180,120,0.01276187,2.14737,50,100,2,62,0.04,0.011,0.1346,0.62,0.5221,0.709,0,0
global,0.1,100vs100,1300,PAN2,100,180,120,0.01276187,1.74608,50,100,4,75,0.08,0.0315,0.1884,0.75,0.657,0.8245,0,0
global,0.01,100vs100,1300,PAN1,100,120,20,0.01276187,3.24356,50,100,0,0,0.0,0.0,0.0714,0.0,0.0,0.037,0,0
global,0.05,100vs100,1300,PAN1,100,120,20,0.01276187,2.14737,50,100,2,1,0.04,0.011,0.1346,0.01,0.0018,0.0545,0,0
global,0.1,100vs100,1300,PAN1,100,120,20,0.01276187,1.74608,50,100,3,5,0.06,0.0206,0.1622,0.05,0.0215,0.1118,0,0
global,0.01,100vs100,1300,PAN2,100,20,120,0.01276187,3.24356,50,100,0,48,0.0,0.0,0.0714,0.48,0.3846,0.5768,0,0
global,0.05,100vs100,1300,PAN2,100,20,120,0.01276187,2.14737,50,100,0,79,0.0,0.0,0.0714,0.79,0.7002,0.8583,0,0
global,0.1,100vs100,1300,PAN2,100,20,120,0.01276187,1.74608,50,100,0,89,0.0,0.0,0.0714,0.89,0.8137,0.9375,0,0
global,0.01,100vs100,1300,PAN1,100,120,200,0.01276187,3.24356,50,100,0,32,0.0,0.0,0.0714,0.32,0.2367,0.4166,0,0
global,0.05,100vs100,1300,PAN1,100,120,200,0.01276187,2.14737,50,100,2,59,0.04,0.011,0.1346,0.59,0.492,0.6813,0,0
global,0.1,100vs100,1300,PAN1,100,120,200,0.01276187,1.74608,50,100,3,69,0.06,0.0206,0.1622,0.69,0.5937,0.7722,0,0
global,0.01,100vs100,1300,PAN2,100,200,120,0.01276187,3.24356,50,100,0,22,0.0,0.0,0.0714,0.22,0.15,0.3107,0,0
global,0.05,100vs100,1300,PAN2,100,200,120,0.01276187,2.14737,50,100,3,51,0.06,0.0206,0.1622,0.51,0.4135,0.6058,0,0
global,0.1,100vs100,1300,PAN2,100,200,120,0.01276187,1.74608,50,100,7,64,0.14,0.0695,0.2619,0.64,0.5424,0.7273,0,0
global,0.01,100vs100,1300,PAN1,100,120,40,0.01276187,3.24356,50,100,0,0,0.0,0.0,0.0714,0.0,0.0,0.037,0,0
global,0.05,100vs100,1300,PAN1,100,120,40,0.01276187,2.14737,50,100,2,8,0.04,0.011,0.1346,0.08,0.0411,0.15,0,0
global,0.1,100vs100,1300,PAN1,100,120,40,0.01276187,1.74608,50,100,3,17,0.06,0.0206,0.1622,0.17,0.1089,0.2555,0,0
global,0.01,100vs100,1300,PAN2,100,40,120,0.01276187,3.24356,50,100,0,51,0.0,0.0,0.0714,0.51,0.4135,0.6058,0,0
global,0.05,100vs100,1300,PAN2,100,40,120,0.01276187,2.14737,50,100,0,82,0.0,0.0,0.0714,0.82,0.7333,0.883,0,0
global,0.1,100vs100,1300,PAN2,100,40,120,0.01276187,1.74608,50,100,0,96,0.0,0.0,0.0714,0.96,0.9016,0.9843,0,0
global,0.01,100vs100,1300,PAN1,100,120,60,0.01276187,3.24356,50,100,0,11,0.0,0.0,0.0714,0.11,0.0625,0.1863,0,0
global,0.05,100vs100,1300,PAN1,100,120,60,0.01276187,2.14737,50,100,2,35,0.04,0.011,0.1346,0.35,0.2636,0.4475,0,0
global,0.1,100vs100,1300,PAN1,100,120,60,0.01276187,1.74608,50,100,3,50,0.06,0.0206,0.1622,0.5,0.4038,0.5962,0,0
global,0.01,100vs100,1300,PAN2,100,60,120,0.01276187,3.24356,50,100,0,43,0.0,0.0,0.0714,0.43,0.3373,0.5278,0,0
global,0.05,100vs100,1300,PAN2,100,60,120,0.01276187,2.14737,50,100,2,79,0.04,0.011,0.1346,0.79,0.7002,0.8583,0,0
global,0.1,100vs100,1300,PAN2,100,60,120,0.01276187,1.74608,50,100,5,86,0.1,0.0435,0.2136,0.86,0.7786,0.9147,0,0
global,0.01,100vs100,1300,PAN1,100,120,80,0.01276187,3.24356,50,100,0,40,0.0,0.0,0.0714,0.4,0.3094,0.498,0,0
global,0.05,100vs100,1300,PAN1,100,120,80,0.01276187,2.14737,50,100,2,64,0.04,0.011,0.1346,0.64,0.5424,0.7273,0,0
global,0.1,100vs100,1300,PAN1,100,120,80,0.01276187,1.74608,50,100,3,74,0.06,0.0206,0.1622,0.74,0.6463,0.816,0,0
global,0.01,100vs100,1300,PAN2,100,80,120,0.01276187,3.24356,50,100,0,45,0.0,0.0,0.0714,0.45,0.3561,0.5476,0,0
global,0.05,100vs100,1300,PAN2,100,80,120,0.01276187,2.14737,50,100,2,79,0.04,0.011,0.1346,0.79,0.7002,0.8583,0,0
global,0.1,100vs100,1300,PAN2,100,80,120,0.01276187,1.74608,50,100,3,83,0.06,0.0206,0.1622,0.83,0.7445,0.8911,0,0
global,0.01,100vs100,1300,PAN1,100,140,100,0.01276187,3.24356,50,100,0,31,0.0,0.0,0.0714,0.31,0.2278,0.4063,0,0
global,0.05,100vs100,1300,PAN1,100,140,100,0.01276187,2.14737,50,100,2,56,0.04,0.011,0.1346,0.56,0.4623,0.6533,0,0
global,0.1,100vs100,1300,PAN1,100,140,100,0.01276187,1.74608,50,100,4,75,0.08,0.0315,0.1884,0.75,0.657,0.8245,0,0
global,0.01,100vs100,1300,PAN2,100,100,140,0.01276187,3.24356,50,100,0,44,0.0,0.0,0.0714,0.44,0.3467,0.5377,0,0
global,0.05,100vs100,1300,PAN2,100,100,140,0.01276187,2.14737,50,100,0,68,0.0,0.0,0.0714,0.68,0.5834,0.7633,0,0
global,0.1,100vs100,1300,PAN2,100,100,140,0.01276187,1.74608,50,100,5,81,0.1,0.0435,0.2136,0.81,0.7222,0.8749,0,0
global,0.01,100vs100,1300,PAN1,100,140,120,0.01276187,3.24356,50,100,0,27,0.0,0.0,0.0714,0.27,0.1927,0.3643,0,0
global,0.05,100vs100,1300,PAN1,100,140,120,0.01276187,2.14737,50,100,2,59,0.04,0.011,0.1346,0.59,0.492,0.6813,0,0
global,0.1,100vs100,1300,PAN1,100,140,120,0.01276187,1.74608,50,100,4,71,0.08,0.0315,0.1884,0.71,0.6146,0.7899,0,0
global,0.01,100vs100,1300,PAN2,100,120,140,0.01276187,3.24356,50,100,0,40,0.0,0.0,0.0714,0.4,0.3094,0.498,0,0
global,0.05,100vs100,1300,PAN2,100,120,140,0.01276187,2.14737,50,100,1,67,0.02,0.0035,0.105,0.67,0.5731,0.7544,0,0
global,0.1,100vs100,1300,PAN2,100,120,140,0.01276187,1.74608,50,100,2,77,0.04,0.011,0.1346,0.77,0.6785,0.8416,0,0
global,0.01,100vs100,1300,PAN1,100,140,140,0.01276187,3.24356,50,100,0,32,0.0,0.0,0.0714,0.32,0.2367,0.4166,0,0
global,0.05,100vs100,1300,PAN1,100,140,140,0.01276187,2.14737,50,100,2,56,0.04,0.011,0.1346,0.56,0.4623,0.6533,0,0
global,0.1,100vs100,1300,PAN1,100,140,140,0.01276187,1.74608,50,100,4,74,0.08,0.0315,0.1884,0.74,0.6463,0.816,0,0
global,0.01,100vs100,1300,PAN2,100,140,140,0.01276187,3.24356,50,100,0,33,0.0,0.0,0.0714,0.33,0.2456,0.4269,0,0
global,0.05,100vs100,1300,PAN2,100,140,140,0.01276187,2.14737,50,100,2,65,0.04,0.011,0.1346,0.65,0.5525,0.7364,0,0
global,0.1,100vs100,1300,PAN2,100,140,140,0.01276187,1.74608,50,100,7,79,0.14,0.0695,0.2619,0.79,0.7002,0.8583,0,0
global,0.01,100vs100,1300,PAN1,100,140,160,0.01276187,3.24356,50,100,0,32,0.0,0.0,0.0714,0.32,0.2367,0.4166,0,0
global,0.05,100vs100,1300,PAN1,100,140,160,0.01276187,2.14737,50,100,2,56,0.04,0.011,0.1346,0.56,0.4623,0.6533,0,0
global,0.1,100vs100,1300,PAN1,100,140,160,0.01276187,1.74608,50,100,4,80,0.08,0.0315,0.1884,0.8,0.7112,0.8666,0,0
global,0.01,100vs100,1300,PAN2,100,160,140,0.01276187,3.24356,50,100,0,23,0.0,0.0,0.0714,0.23,0.1584,0.3215,0,0
global,0.05,100vs100,1300,PAN2,100,160,140,0.01276187,2.14737,50,100,3,54,0.06,0.0206,0.1622,0.54,0.4426,0.6344,0,0
global,0.1,100vs100,1300,PAN2,100,160,140,0.01276187,1.74608,50,100,8,68,0.16,0.0834,0.2851,0.68,0.5834,0.7633,0,0
global,0.01,100vs100,1300,PAN1,100,140,180,0.01276187,3.24356,50,100,0,34,0.0,0.0,0.0714,0.34,0.2546,0.4372,0,0
global,0.05,100vs100,1300,PAN1,100,140,180,0.01276187,2.14737,50,100,2,61,0.04,0.011,0.1346,0.61,0.512,0.6998,0,0
global,0.1,100vs100,1300,PAN1,100,140,180,0.01276187,1.74608,50,100,4,74,0.08,0.0315,0.1884,0.74,0.6463,0.816,0,0
global,0.01,100vs100,1300,PAN2,100,180,140,0.01276187,3.24356,50,100,1,24,0.02,0.0035,0.105,0.24,0.1669,0.3323,0,0
global,0.05,100vs100,1300,PAN2,100,180,140,0.01276187,2.14737,50,100,2,59,0.04,0.011,0.1346,0.59,0.492,0.6813,0,0
global,0.1,100vs100,1300,PAN2,100,180,140,0.01276187,1.74608,50,100,4,72,0.08,0.0315,0.1884,0.72,0.6251,0.7986,0,0
global,0.01,100vs100,1300,PAN1,100,140,20,0.01276187,3.24356,50,100,0,2,0.0,0.0,0.0714,0.02,0.0055,0.07,0,0
global,0.05,100vs100,1300,PAN1,100,140,20,0.01276187,2.14737,50,100,2,6,0.04,0.011,0.1346,0.06,0.0278,0.1248,0,0
global,0.1,100vs100,1300,PAN1,100,140,20,0.01276187,1.74608,50,100,4,9,0.08,0.0315,0.1884,0.09,0.0481,0.1623,0,0
global,0.01,100vs100,1300,PAN2,100,20,140,0.01276187,3.24356,50,100,0,38,0.0,0.0,0.0714,0.38,0.291,0.4779,0,0
global,0.05,100vs100,1300,PAN2,100,20,140,0.01276187,2.14737,50,100,0,73,0.0,0.0,0.0714,0.73,0.6357,0.8073,0,0
global,0.1,100vs100,1300,PAN2,100,20,140,0.01276187,1.74608,50,100,0,88,0.0,0.0,0.0714,0.88,0.8019,0.93,0,0
global,0.01,100vs100,1300,PAN1,100,140,200,0.01276187,3.24356,50,100,0,29,0.0,0.0,0.0714,0.29,0.2101,0.3854,0,0
global,0.05,100vs100,1300,PAN1,100,140,200,0.01276187,2.14737,50,100,2,55,0.04,0.011,0.1346,0.55,0.4524,0.6439,0,0
global,0.1,100vs100,1300,PAN1,100,140,200,0.01276187,1.74608,50,100,4,68,0.08,0.0315,0.1884,0.68,0.5834,0.7633,0,0
global,0.01,100vs100,1300,PAN2,100,200,140,0.01276187,3.24356,50,99,0,22,0.0,0.0,0.0714,0.2222,0.1516,0.3136,0,0
global,0.05,100vs100,1300,PAN2,100,200,140,0.01276187,2.14737,50,99,3,48,0.06,0.0206,0.1622,0.4848,0.3888,0.582,0,0
global,0.1,100vs100,1300,PAN2,100,200,140,0.01276187,1.74608,50,99,7,65,0.14,0.0695,0.2619,0.6566,0.5588,0.7427,0,0
global,0.01,100vs100,1300,PAN1,100,140,40,0.01276187,3.24356,50,99,0,0,0.0,0.0,0.0714,0.0,0.0,0.0374,0,0
global,0.05,100vs100,1300,PAN1,100,140,40,0.01276187,2.14737,50,99,2,5,0.04,0.011,0.1346,0.0505,0.0218,0.1128,0,0
global,0.1,100vs100,1300,PAN1,100,140,40,0.01276187,1.74608,50,99,4,16,0.08,0.0315,0.1884,0.1616,0.102,0.2465,0,0
global,0.01,100vs100,1300,PAN2,100,40,140,0.01276187,3.24356,50,100,0,51,0.0,0.0,0.0714,0.51,0.4135,0.6058,0,0
global,0.05,100vs100,1300,PAN2,100,40,140,0.01276187,2.14737,50,100,0,81,0.0,0.0,0.0714,0.81,0.7222,0.8749,0,0
global,0.1,100vs100,1300,PAN2,100,40,140,0.01276187,1.74608,50,100,0,88,0.0,0.0,0.0714,0.88,0.8019,0.93,0,0
global,0.01,100vs100,1300,PAN1,100,140,60,0.01276187,3.24356,50,99,0,10,0.0,0.0,0.0714,0.101,0.0558,0.176,0,0
global,0.05,100vs100,1300,PAN1,100,140,60,0.01276187,2.14737,50,99,2,18,0.04,0.011,0.1346,0.1818,0.1182,0.2692,0,0
